instant noodles bag ,0
cheese plastic wrapper ,0
plastic spoon ,0
sweet wrapping ,0
foam plate ,0
sealed plastic bag ,0
small plastic lid ,0
muscle cream bottle ,0
plastic fork ,0
plastic bag ,0
plastic fork ,0
styrofoam ,0
foam plate ,0
chocolate wrapper ,0
old worn sandpaper ,0
empty chip packet ,0
tape roll ,0
clean plastic straw ,0
dirty plastic box with plastic cover ,0
plastic lid ,0
nonstretchy wrap ,0
mask ,0
clean plastic tofu container ,0
mosquito repellent cream tube ,0
razer ,0
multilayer snack wrapper ,0
empty toothpaste tube ,0
foam meat package,0
oily plastic food wrapper ,0
foil food wrapper ,0
coffee cup lid ,0
empty plastic bag colorful ,0
tube body lotion ,0
pop bottle caps ,0
non stretchy plastic food bag ,0
protein bar wrapper  ,0
dirty foil food wrapper  ,0
dipping sauce ,0
chocolate foil paper,0
cloth mask ,0
korean instant noodles packet ,0
protein bar wrapper  ,0
tissue ,0
candy wrap,0
pen ,0
babybel wax ,0
dirty sponge ,0
plastic cutlery ,0
organicperiodcareproduct ,0
covid test ,0
dirty styrofoam cup ,0
multi material whipped cream wrapper ,0
plastic cutlery ,0
plastic straw ,0
rice spice packet ,0
clean light bulb ,0
old elastic band ,0
cheetos bag ,0
drink lid straw ,0
nonstretchy plastic bag ,0
plastic knife ,0
cigarette bud white ,0
nasal spray bottle ,0
coffee lid ,0
orange plastic cap ,0
plastic tube ,0
nonstretchy plastic bag ,0
toothbrush ,0
tzatziki ,0
nonstretchy plastic bag ,0
candy wrapper ,0
coffee lid ,0
non stretchy plastic packet of cookie ,0
plastic knife ,0
sauce plastic cover ,0
skin lotion packet ,0
brownie wrapper,0
clean dish sponge ,0
unusable marker min ,0
dirty toothpaste ,0
baby pouch ,0
nonstretchy ziploc shrimp bag ,0
empty perfume bottle ,0
plastic cutlery ,0
plastic straw ,0
opened plastic babybel wrapper ,0
clean food wrapping plastic ,0
plastic cutlery ,0
old towel ,0
plastic cutlery ,0
plastic luggage tag ,0
clean plastic cap ,0
babybel wax ,0
nonstretchy plastic bag ,0
cheddar chip bag ,0
protein bar wrapper  ,0
toothpase tube ,0
protein bar wrapper  ,0
tube body lotion ,0
plastic cup lid ,0
foot cream tube ,0
plastic handcream tube ,0
nonstretchy plastic bag,0
empty pack of cookies ,0
foil food wrapper ,0
torn foil wrapper ,0
small plastic container ,0
empty toothpaste tube ,0
plastic sauce cup ,0
white disposable plastic spoon ,0
dental floss,0
plastic lid ,0
mask ,0
tape roll ,0
used toothbrush ,0
toothpicks ,0
disinfectant wrapper ,0
plastic ziploc cheese bag,0
broken glass ,0
styrofoam ,0
small plastic lid ,0
empty lipstick container ,0
gummy bag ,0
expired cheese ,0
hard item ,0
plastic fork ,0
empty tissue box ,0
non stretchy plastic packet of chips ,0
plastic fork ,0
piece of packaging plastic ,0
air freshener container ,0
foam plate ,0
sharp razor ,0
tissue box ,0
instant noodles bag ,0
plastic bottle lid ,0
chip bag ,0
plastic bottle lid ,0
tea bag cover ,0
small plastic lid ,0
aluminum food seal ,0
plastic knife,0
foam plate ,0
disposable plastic spoon ,0
foam plate ,0
cookieplastic ,0
hot chocolate powder packets ,0
plastic fork ,0
plastic spoon clean ,0
non stretchy plastic bag  ,0
four pack carrier ,0
snack bar wrapper ,0
foam plate ,0
back of clean plastic candy bag ,0
finish pod wrapper  ,0
gift card ,0
used razor ,0
japanese snack multilayer plastic bag ,0
plastic wrapper wire ,0
plastic packaging for cheese ,0
coffee pod metal ,0
nonstretchy food wrap,0
duct tape ,0
diaper ,0
coffee cup lid ,0
multilayer snack wrapper ,0
small plastic container ,0
pop bottle caps ,0
tube body lotion ,0
plastic bag ,0
onion netting pouch ,0
plastic packet ,0
medicine blister ,0
protein bar wrapper  ,0
sharpie pen ,0
instant noodle packaging ,0
plastic cutlery ,0
babybel wax ,0
cheese wax ,0
rubber cleaning glove,0
plastic cutlery ,0
cloth cleaning ,0
face mask ,0
dirty styrofoam ,0
chip bag ,0
plastic cutlery ,0
facial wipe ,0
plastic straw ,0
plastic ketchup packet ,0
nonstretchy plastic bag  ,0
silicon container ,0
vanishing cream tube ,0
personal mask ,0
chocolate bag  ,0
